Header_ID,Project_Name,Bay_Segment,Lead_Entity,Completion_Date,TP_Reduction_lbs_yr,TN_Reduction_lbs_yr,TSS_Reduction_lbs_yr
8,Delany Creek Wetland Restoration Project,Hillsborough Bay,Hillsborough County,1997,,1691.3,
10,Cone Ranch Restoration Project,Hillsborough Bay,Hillsborough County,1999,140,331,3210
11,29th or 30th Street Outfall/ Mckay Bay,Hillsborough Bay,City of Tampa,1998,4.5,33.3,4457
14,Palma Ceia Area Stormwater Pond,Hillsborough Bay,City of Tampa,2001,28.4,93.4,2432
15,North Tampa Pond Enlargements,Hillsborough Bay,City of Tampa,2002,0.8,2.5,65
19,East Lake (Alum) Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,2000,,5244,
20,Lowry Park West Stormwater Retrofit Project,Hillsborough Bay,City of Tampa,1998,50.3,168.2,6215
21,Lake Thonotosassa Marsh Restoration Project,Hillsborough Bay,SWFWMD,1999,28,66.2,642
25,Flood Management Program,Hillsborough Bay,Hillsborough County,2002,,4000,
26,Pistol Range Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,2000,203.9,2103.3,60399
27,Alafia River Corridor Land Acquisition,Hillsborough Bay,SWFWMD,1995,,504,
28,Eastern Associated Terminals Stormwater Improvements,Hillsborough Bay,Eastern Terminals,1996,,2190,
30,Cargill Fertilizer Stormwater Ponds,Hillsborough Bay,Mosaic,1998,3.1,9.6,1106
31,Cargill Fertilizer Dedicated Sump By Production Lab,Hillsborough Bay,Mosaic,1996,,59.4,
32,Cargill Fertilizer Dedicated Sump At Product Loading Dock,Hillsborough Bay,Mosaic,1996,,1584,
33,Cargill Fertilizer Outfall Structural And Procedural Improvements,Hillsborough Bay,Mosaic,1997,,1962,
34,IMC-Agrico Company Termination Of Ammonia In Flot Plants-Alafia River,Middle Tampa Bay,Mosaic,1995,,21000,
35,IMC-Agrico Company Shiploading Terminals Stormwater And Spillage,Hillsborough Bay,Mosaic,1994,,25755,
36,CF Industries Product Conveyor System Upgrade,Hillsborough Bay,Mosaic,1993,,19600,
37,CF Industries Improved Dust Suppressant Application On Fertilizer Products,Hillsborough Bay,Mosaic,1994,,108,
38,CF Industries Product Conveyor System Enhancement - Phase 2,Hillsborough Bay,Mosaic,1997,,41.4,
39,CF Industries Stormwater Management System Project,Hillsborough Bay,Mosaic,1997,,,
40,CSX Transportation Rockport Terminal Stormwater Management Improvements,Hillsborough Bay,CSX Transportation,1997,,74000,
48,Del Oro Phase 1,Old Tampa Bay,City of Clearwater,1996,17.8,58.5,1905
49,Cooper's Point Restoration,Old Tampa Bay,City of Clearwater,2001,,,
50,Allen's Creek Rehabilitation At Lake View And Hercules (Red Maple Swamp),Old Tampa Bay,Pinellas County,1998,,1466.8,
53,Improve Business And Homeowner Opportunities For Hazardous Waste Disposal,Old Tampa Bay,City of Clearwater,1999,,,
55,Lower Sweetwater Creek Stormwater Retrofits,Old Tampa Bay,Hillsborough County,2012,4.2,17.3,
56,Brushy Creek Wetland Enhancement Project,Old Tampa Bay,Hillsborough County,1993,0.5,2.4,67
57,Alligator Creek Channel "H" Stormwater Treatment Pond,Old Tampa Bay,Pinellas County,1995,,798.9,
58,Al Lopez Park Pond Enhancement,Old Tampa Bay,City of Tampa,1994,,43.9,
59,Lois And Henry Avenues Retention Pond (Drew Park Drainage And Improvements  Phase 1),Old Tampa Bay,City of Tampa,1997,14,49.2,3344
61,Safety Harbor Stormwater Retrofit Project,Old Tampa Bay,City of Safety Harbor,1995,,1079.4,
62,Roosevelt Creek Stormwater - Phase I,Old Tampa Bay,Pinellas County,2002,35.4,109.1,1652
64,Septic To Sewer Conversions In Largo,Old Tampa Bay,City of Largo,1997,,3000,
65,Alligator Creek Pond at Logan Street,Old Tampa Bay,Pinellas County,2002,131.1,431.8,14056
67,Bayside Bridge Pond Rehabilitation,Old Tampa Bay,Pinellas County,2004,2.9,11.4,310
77,Lake Maggiore Alum Injection,Middle Tampa Bay,City of St. Petersburg,1998,,6212,
80,Mirror Lake Stormwater Retrofit,Middle Tampa Bay,City of St. Petersburg,2000,,1553,
81,Pinellas Park Channel 2 Alum Stormwater Retrofit Project,Middle Tampa Bay,City of Pinellas Park,1998,,272,
82,Haynsworth Tract Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,1998,,,
84,Cockroach Bay Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,1997,0.6,,60
85,Little Manatee River Land Acquisition Project,Middle Tampa Bay,SWFWMD,1995,,,
86,Sawgrass Lake Pond (Haynesworth Tract),Middle Tampa Bay,Pinellas County,1999,145.8,480.3,15636
87,Overlay District Projects - Development,Lower Tampa Bay,Manatee County,2000,,2057.1,
88,Overlay District Projects - Agriculture,Lower Tampa Bay,Manatee County,2000,,17154.5,
89,Land Acquisition/Management Project,Lower Tampa Bay,Manatee County,2000,,,
91,Central Sewer Hook-up - Manatee County,Manatee River,Manatee County,2003,,7375,
92,Tropicana Point Discharge To Deep Well Injection,Manatee River,Manatee County,2003,,22066,
94,Wood Ibis Park Stormwater Retrofit Project,Boca Ciega Bay,SWFWMD,1998,,260.4,
98,Jungle Lake Restoration,Boca Ciega Bay,City of St. Petersburg,1994,,627.8,
99,Clam Bayou Borrow Pit Retrofit,Boca Ciega Bay,City of St. Petersburg,1999,,529.8,
100,102nd Avenue Pond Enhancement,Boca Ciega Bay,Pinellas County,1995,,130.4,
101,94th Ave. Pond Enhancement,Boca Ciega Bay,Pinellas County,1995,,163,
102,Bath Club Concourse Stormwater Retrofit Demonstration Project,Boca Ciega Bay,SWFWMD,1994,,16.7,
103,South Pasadena Stormwater Demonstration Project,Boca Ciega Bay,SWFWMD,1994,,24.5,
104,Pinellas County EMS Stormwater Pond Enhancement,Boca Ciega Bay,Pinellas County,1994,,16.5,
105,Largo Regional Stormwater Treatment Facility,Boca Ciega Bay,SWFWMD,2002,,3065.3,
106,Downtown Largo Regional Stormwater Treatment Facility,Boca Ciega Bay,SWFWMD,1998,,1993,
107,Lake Seminole "Dogleg" Refurbishing,Boca Ciega Bay,Pinellas County,2001,,,
108,St. Pete Junior College Wetland Restoration,Boca Ciega Bay,Pinellas County,2001,38.9,128.2,3340
115,Allens Creek Rehabilitation at Lake View and Hercules (Red Maple Swamp),Old Tampa Bay,City of Clearwater,1999,425.6,1401.9,45637
122,Lowry Park Zoo Stormwater Rehabilitation,Hillsborough Bay,SWFWMD,2002,,205.2,
123,McKay Bay (Eastshore Commerce Park) (Melbourne Pond) Drainage Basin Rehabilitation,Hillsborough Bay,Tampa Bay Water/SWFWMD,2006,,880,
124,City of Madeira Beach Public Works Complex Stormwater Retrofit Project,Boca Ciega Bay,SWFWMD,2000,4.4,17.7,481
125,Cockroach Bay Restoration Project,Middle Tampa Bay,SWFWMD,1996,211.2,570.9,3140
126,Lake Maggiore Dredging Project,Middle Tampa Bay,City of St. Petersburg,2006,,3425.7,
129,South Gulf Beaches Reclaimed Water System,Boca Ciega Bay,Pinellas County,2003,,,
131,Old Oakhurst Road Reclaimed Water Distribution System,Boca Ciega Bay,Pinellas County,2003,,,
132,Bonnie Bay Reclaimed Water Distribution System,Boca Ciega Bay,Pinellas County,2003,,,
135,Lake Tarpon Stormwater Treatment (Areas 44/47),Old Tampa Bay,Pinellas County,2012,202.7,559.2,26676
137,Assist businesses in implementing site management practices to reduce stormwater runoff,All Segments,EPCHC,2000,,,
142,Brooker / Anclote Corridor Land Acquisition -1,Old Tampa Bay,Pinellas County,2001,,,
143,Brooker Creek Land Acquisition -1,Old Tampa Bay,Pinellas County,2001,,,
144,Brooker / Anclote Corridor Land Acquisition -2,Old Tampa Bay,Pinellas County,2001,,,
145,Brooker / Anclote Corridor Land Acquisition -3,Old Tampa Bay,Pinellas County,2001,,,
146,Brooker Creek Land Acquisition -2,Old Tampa Bay,Pinellas County,2001,,,
147,Wall Springs Land Acquisition -2,Old Tampa Bay,Pinellas County,2001,,,
186,Restore America's Estuaries project assistance,All Segments,TBRPC,2005,,,
187,Mitigation Recommendations,All Segments,TBRPC,2005,,,
189,Recommendation of no-vehicle access areas,All Segments,TBRPC,2005,,,
191,Manatee Protection Zones,All Segments,TBRPC,2005,,,
193,Beneficial uses for spoil material,All Segments,ACOE,2000,,,
220,Apollo Beach Cargill Park - Land Acquisition,Hillsborough Bay,Hillsborough County,1996,,,
233,Agreement with TBRPC,All Segments,EPCHC,1998,,,
253,Balm Scrub - Land Acquisition,Hillsborough Bay,Hillsborough County,1997,,,
254,Bell Creek Preserve - Land Acquisition,Hillsborough Bay,Hillsborough County,1997,,,
255,Blackwater Creek - Land Acquisition,Hillsborough Bay,Hillsborough County,1997,,,
256,Boy Scout - Land Acquisition,Hillsborough Bay,Hillsborough County,1999,,,
267,Port Redwing - Land Acquisition,Hillsborough Bay,Hillsborough County,1995,,,
291,Retrofit the County's Resource Recovery Facility,Hillsborough Bay,Hillsborough County,2000,,,
293,Hillsborough County Reclaimed Water Use System,Hillsborough Bay,Hillsborough County,2005,,,
296,Support standardized monitoring of wastewater discharges,Hillsborough Bay,Hillsborough County,2005,,,
298,SCADA for monitoring pump station failure,Hillsborough Bay,Hillsborough County,2011,,,
299,Hillsborough County Watershed Management Plans,All Segments,Hillsborough County,2002,,,
338,Atmospheric deposition studies,All Segments,Pinellas County,2002,,,
350,development of standardized mitigation guidelines,All Segments,Pinellas County,2000,,,
351,Seagrass scar reduction efforts,All Segments,Pinellas County,1997,,,
367,Urban retrofit projects,Middle Tampa Bay,City of St. Petersburg,2004,,118.8,
399,Multiple habitat restoration and protection projects,Hillsborough Bay,Tampa Port Authority,2004,,,
419,Support consent orders for clean up of fertilizer facilities,All Segments,FDEP,2000,,,
461,Tampa Bay Water Regional Surface Water Treatment Plant,Hillsborough Bay,Tampa Bay Water,2003,,72440,
464,Kapok Restoration Project,Old Tampa Bay,City of Clearwater,2006,,644,
465,Cliff Stephens Park Stormwater Retrofitting,Old Tampa Bay,City of Clearwater,2002,,11600,
466,Channel B Stabilization,Old Tampa Bay,City of Clearwater,2001,,,
467,Moccasin Lake Park Restoration,Old Tampa Bay,City of Clearwater,2001,,,
472,Millennium Park Improvement,Boca Ciega Bay,Pinellas County,2003,5.3,16.3,308
474,Bear Creek Water Quality Improvement Project,Boca Ciega Bay,SWFWMD,2000,,,
475,McKay Creek Sediment Sump,Boca Ciega Bay,Pinellas County,2001,,39.5,
476,McKay Creek Shoreline Stabilization,Boca Ciega Bay,Pinellas County,2002,,,
477,High Ridge Estates,Old Tampa Bay,Pinellas County,1992,26.5,87.2,2837
479,McMullen Booth Road @ Curlew Road,Old Tampa Bay,Pinellas County,2003,,,
480,War Vets Oyster Reef,Boca Ciega Bay,Pinellas County,2004,,,
482,Alligator Lake/Ruth Eckerd Wetland Creation,Old Tampa Bay,City of Clearwater,2008,12.3,58.1,2837
484,Mobbly Bayou Wilderness Preserve Restoration,Old Tampa Bay,Pinellas County,2009,,,
485,St. Paul's Drive Restoration,Old Tampa Bay,Pinellas County,1997,,,
487,Hillsborough Heights project,Hillsborough Bay,Hillsborough County,2003,,,
488,Lower Bullfrog Creek - habitat restoration,Hillsborough Bay,SWFWMD,2001,,,
491,Wolf Branch Creek #1 - habitat creation (Phases I & II),Hillsborough Bay,SWFWMD,2003,,,
492,Fort Brooke/Cotanchobee Park Shoreline - habitat restoration,Hillsborough Bay,SWFWMD,2002,,,
494,Antibiotic Resistance Analysis (Fingerprinting),Hillsborough Bay,Hillsborough County,2003,,,
496,McKay Bay Watershed Projects,Hillsborough Bay,Hillsborough County,2006,,,
497,Manatee Protection Zones,Lower Tampa Bay,Manatee County,2004,,,
501,Palmetto Estuary Preserve Habitat Restoration (Phase I),Manatee River,SWFWMD,2000,,,
505,Largo Regional Stormwater Treatment Facility Educational Boardwalk System,Old Tampa Bay,SWFWMD,2002,,,
506,South Green Springs Phase Two Stormwater Retrofit Project,Old Tampa Bay,SWFWMD,2002,,163.8,
507,Clam Bayou Stormwater Treatment and Habitat Restoration (phase 3),Boca Ciega Bay,SWFWMD,2012,,,
508,Largo Stormwater Retrofit - CDS Units,Old Tampa Bay,SWFWMD,2002,,63.1,
509,Lake Tomlinson Restoration,Middle Tampa Bay,SWFWMD,2002,,,
510,St. Petersburg Retrofit - CDS Units (storage yard under 1-275),Middle Tampa Bay,SWFWMD,2002,,4.7,
511,Bishop Creek Streambank Protection,Old Tampa Bay,SWFWMD,2002,1.1,3.3,63
512,Howard Frankland Habitat Restoration "Gateway",Old Tampa Bay,SWFWMD,2004,,,
514,South Tampa Greenway/Tappan Habitat Restoration Site,Hillsborough Bay,SWFWMD,2004,,,
534,Palm River Restoration,Hillsborough Bay,SWFWMD,2005,,,
535,Schultz Nature Park,Hillsborough Bay,SWFWMD,2004,,,
538,Monitoring Gopher Tortoise Relocation,Hillsborough Bay,Pinellas County,2004,,,
545,Alligator Lake Restoration,Old Tampa Bay,Pinellas County,2011,,,
565,Joe's Creek Habitat Restoration Project,Boca Ciega Bay,SWFWMD,2003,,,
584,Emerson Point Habitat Restoration Project (Final Phase),Terra Ceia Bay,SWFWMD,2003,,,
593,Bishop Harbor Road - Land Acquisition,Terra Ceia Bay,SWFWMD,2007,,,
597,Gulfport Marina Design Through Construction,Boca Ciega Bay,SWFWMD,2001,,,
598,Madeira Beach Stormwater Improvements,Boca Ciega Bay,SWFWMD,2004,,,
601,Broadway Outfall Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,2001,,139,
617,Install and monitor curb inlet protectors,Hillsborough Bay,TBEP,2000,,,
669,Mangrove Trimming Regulations,Boca Ciega Bay,Pinellas County,2003,,,
671,Shell Key Preserve Management Plan,Boca Ciega Bay,Pinellas County,2007,,,
673,Fort DeSoto Artificial Reef,Boca Ciega Bay,Pinellas County,2003,,,
679,City of Largo Reclaimed Water (Reuse),Old Tampa Bay,City of Largo,1997,,58592.7,
681,Bradenton Reclaimed,Manatee River,City of Bradenton,2000,,28083.6,
682,City of Palmetto Reclaimed,Terra Ceia Bay,City of Palmetto,2000,,3446.6,
683,Dale Mabry Reclaimed,Hillsborough Bay,Hillsborough County,1995,,10946.2,
684,Van Dyke Reclaimed,Hillsborough Bay,Hillsborough County,1995,,3052.7,
685,Northwest and River Oaks Reclaimed,Hillsborough Bay,Hillsborough County,1995,,6472,
686,Falkenburg & Valrico Reclaimed,Hillsborough Bay,Hillsborough County,1995,,12186.6,
687,South County Reuse System,Hillsborough Bay,Hillsborough County,1995,,35451,
